link,title,subtitle,价格,单价,house_build_year,小区,位置,地铁,house_code,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验码,isUnique,resblockId,resblockPosition
https://sh.lianjia.com/ershoufang/107106755493.html,电梯16号线商品房小区 高品质带电梯精装修,"：
张江南，商品房，地铁16号线，小三房，精装修交房未住过",420,42390元/平米,未知年建,海玥瑄邸,浦东 惠南 外环外,,107106755493举报,3室2厅1厨1卫,中楼层 (共14层),99.08㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,暂无数据,2023-03-22,商品房,2022-10-24,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202308064295,唯一住宅,5020041246783191,"121.721122,31.053256"
https://sh.lianjia.com/ershoufang/107106327782.html,6+10号线地铁口，美丽家园全新升级，值得一看！,6+10号线地铁口，美丽家园全新升级，小区环境好，生活便利。,185,48077元/平米,1987年建,学前一村,浦东 外高桥 中环至外环,近6号线外高桥保税区北站,107106327782举报,1室1厅1厨1卫,高楼层 (共6层),38.48㎡,暂无数据,暂无数据,板楼,南,砖混结构,简装,一梯三户,无,2023-01-11,商品房,2015-03-04,普通住宅,满五年,共有,无抵押,已上传房本照片,202308054169,不唯一,5011000012664,"121.590969,31.354634"
https://sh.lianjia.com/ershoufang/107106137620.html,底楼复式，一楼和地下一楼，带电梯，精装修，保养好,底楼复式，一楼和地下一楼，带电梯，精装修，保养好,4200,66635元/平米,2011年建,上海星河湾,闵行 颛桥 外环外,,107106137620举报,5室4厅2厨7卫,低楼层 (共29层),630.3㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,2022-11-23,商品房,2018-09-29,普通住宅,满两年,非共有,无抵押,已上传房本照片,202207767925,唯一住宅,5011000011257,"121.415841,31.094617"
https://sh.lianjia.com/ershoufang/107106696043.html,逸仙路1321弄 2室1厅 南,链家网真房源，更多房源信息请联系经纪人,320,59315元/平米,1993年建,逸仙路1321弄,宝山 高境 中环至外环,,107106696043举报,2室1厅1厨1卫,中楼层 (共6层),53.95㎡,平层,53.95㎡,板楼,南,砖混结构,简装,一梯两户,无,2023-03-13,商品房,2002-01-24,普通住宅,满五年,共有,无抵押,已上传房本照片,202305333360,不唯一,5011000001260,"121.494476,31.322445"
https://sh.lianjia.com/ershoufang/107106661820.html,精装修 拎包入住 满五年 近地铁 商场 品质两房 诚意售,此房满五年，精装修，可以拎包入住，品质两房，业主诚意出售.,635,75273元/平米,2009年建,经纬观澜弘郡家园(三期),宝山 上大 ,,107106661820举报,2室2厅1厨1卫,低楼层 (共14层),84.36㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,2023-03-08,商品房,2010-06-01,普通住宅,满五年,共有,有抵押 16万元 自还,已上传房本照片,202308009941,不唯一,5020022085507610,"121.403641,31.333349"
https://sh.lianjia.com/ershoufang/107106579615.html,带大天井　户型方正　全明宜居　采光好,一梯两户的两房，采光好，视野好，户型方正,280,58960元/平米,1997年建,宝山七村,宝山 淞宝 外环外,,107106579615举报,1室1厅1厨1卫,低楼层 (共6层),47.49㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,2023-02-26,商品房,2009-11-25,普通住宅,满五年,共有,无抵押,已上传房本照片,202307976716,不唯一,5011000012661,"121.505121,31.402264"
https://sh.lianjia.com/ershoufang/107106563088.html,淞滨路803弄 1室2厅 南,链家网真房源，更多房源信息请联系经纪人,245,49686元/平米,1994年建,淞滨路803弄,宝山 淞宝 中环至外环,近3号线淞滨路站,107106563088举报,1室2厅1厨1卫,高楼层 (共6层),49.31㎡,暂无数据,暂无数据,板楼,南,砖混结构,简装,一梯三户,无,2023-02-24,商品房,2014-08-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,202307953781,不唯一,5011000006542,"121.4951916,31.37676264"
https://sh.lianjia.com/ershoufang/107106620823.html,高楼层，全毛坯，无个税，采光通风好,此房满五年，个税少，纯毛坯，视野采光好,510,57169元/平米,2010年建,香逸湾,宝山 杨行 外环外,,107106620823举报,3室2厅1厨1卫,中楼层 (共11层),89.21㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,有,2023-03-03,商品房,2010-06-21,普通住宅,满五年,共有,有抵押 40万元 农业银行 业主自还,已上传房本照片,202308016641,唯一住宅,5011000014758,"121.451779,31.368131"
https://sh.lianjia.com/ershoufang/107105975433.html,一楼带花园，房屋格局通透，动静分明，诚意出售,一楼带大花园，房屋格局通透，动静分明，业主诚意出售。,630,67165元/平米,2002年建,岭南雅苑,宝山 张庙 中环至外环,,107105975433举报,2室1厅1厨1卫,低楼层 (共6层),93.8㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯两户,无,2022-10-22,商品房,2014-11-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,202207600078,不唯一,5011000012830,"121.4632621,31.33111227"
https://sh.lianjia.com/ershoufang/107106266730.html,满五年，小户型，房龄新，配套齐全，近公园，生活方便,满五年，小户型，房龄新，配套齐全，诚意出售，近公园，生活方便,376,85983元/平米,1994年建,漕溪二村,徐汇 万体馆 内环至中环,近3号线漕溪路站,107106266730举报,1室1厅1厨1卫,高楼层 (共6层),43.73㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯四户,无,2022-12-28,商品房,2016-01-28,普通住宅,满五年,非共有,有抵押 115万元,已上传房本照片,202207827855,不唯一,5011000015251,"121.4439349,31.17775935"
https://sh.lianjia.com/ershoufang/107106288123.html,非底楼朝东一室户+家居家电全配从未空租,此房已满五，税费少！房东诚售，价格可谈,445,152921元/平米,1995年建,天平小区,徐汇 徐家汇 内环内,近1号线徐家汇站,107106288123举报,1室0厅1厨1卫,低楼层 (共7层),29.1㎡,平层,暂无数据,板楼,东,钢混结构,精装,一梯五户,无,2023-01-03,商品房,2015-03-23,普通住宅,满五年,共有,无抵押,已上传房本照片,202307881387,不唯一,5011000016056,"121.445546,31.204764"
